 CH's ID: 1
node: 1
nID1: 195, nID2: 327, key value: 522
nID1: 196, nID2: 327, key value: 523
nID1: 40, nID2: 327, key value: 367
nID1: 185, nID2: 327, key value: 512



 CH's ID: 40
node: 40
nID1: 40, nID2: 64, key value: 104
nID1: 40, nID2: 198, key value: 238
nID1: 40, nID2: 353, key value: 393
nID1: 40, nID2: 51, key value: 91
nID1: 40, nID2: 183, key value: 223
nID1: 27, nID2: 40, key value: 67
nID1: 40, nID2: 315, key value: 355
nID1: 40, nID2: 303, key value: 343
nID1: 40, nID2: 314, key value: 354
nID1: 40, nID2: 316, key value: 356
nID1: 40, nID2: 159, key value: 199
nID1: 40, nID2: 170, key value: 210
nID1: 40, nID2: 172, key value: 212
nID1: 40, nID2: 304, key value: 344
nID1: 14, nID2: 40, key value: 54
